Date,Open,High,Low,Close,GDP (constant 2015 MYR),GDP Growth YOY (%),OPR (%),MA_50,MA_200,EMA_50,EMA_200,RSI_50,BB_upper,BB_lower,GDP (constant 2015 MYR)_Lag_30D,GDP (constant 2015 MYR)_Lag_90D,GDP (constant 2015 MYR)_Lag_180D,GDP (constant 2015 MYR)_Lag_365D,OPR (%)_Lag_30D,OPR (%)_Lag_90D,Lagged_Close_30D,Lagged_Close_90D,Lagged_Close_180D,Lagged_Close_365D
2023-06-01,8.600000381469727,8.649999618530273,8.59000015258789,8.600000381469727,1804500000000.0,3.680282186,3.0,8.67339994430542,8.668249974250793,8.648992162286698,8.662769064010073,45.37039244618579,8.889179386880546,8.44732056162104,1804500000000.0,1804500000000.0,1741500000000.0,1741500000000.0,3.0,2.75,8.680000305175781,8.710000038146973,8.579999923706055,8.890000343322754
2023-06-02,8.600000381469727,8.619999885559082,8.550000190734863,8.579999923706055,1804500000000.0,3.680282186,3.0,8.670799942016602,8.668199973106384,8.646286584303143,8.66194549047471,44.03668761543624,8.889205093841671,8.447194852371098,1804500000000.0,1804500000000.0,1741500000000.0,1741500000000.0,3.0,2.75,8.720000267028809,8.6899995803833,8.579999923706055,8.9399995803833
2023-06-03,8.569999694824219,8.630000114440918,8.550000190734863,8.579999923706055,1804500000000.0,3.680282186,3.0,8.668199939727783,8.668599972724914,8.643687107416982,8.661130111700894,44.03668761543624,8.888668868813928,8.4485310766359,1804500000000.0,1804500000000.0,1741500000000.0,1741500000000.0,3.0,2.75,8.75,8.6899995803833,8.579999923706055,8.880000114440918
2023-06-04,8.569999694824219,8.630000114440918,8.550000190734863,8.579999923706055,1804500000000.0,3.680282186,3.0,8.665799942016601,8.668949971199035,8.641189570800867,8.660322846148707,44.44444444444444,8.888226074046935,8.449673868351136,1804500000000.0,1804500000000.0,1741500000000.0,1741500000000.0,3.0,2.75,8.75,8.6899995803833,8.609999656677246,8.84000015258789
2023-06-05,8.569999694824219,8.630000114440918,8.550000190734863,8.579999923706055,1804500000000.0,3.680282186,3.0,8.66339994430542,8.669049968719483,8.638789976797149,8.659523613089577,44.44444444444444,8.888144499518532,8.449955437920433,1804500000000.0,1804500000000.0,1741500000000.0,1741500000000.0,3.0,2.75,8.760000228881836,8.680000305175781,8.649999618530273,8.84000015258789
2023-06-06,8.569999694824219,8.630000114440918,8.550000190734863,8.579999923706055,1804500000000.0,3.680282186,3.0,8.660999946594238,8.669249968528748,8.636484484519066,8.6587323325982,44.44444444444444,8.887943580607253,8.450556356450242,1804500000000.0,1804500000000.0,1741500000000.0,1741500000000.0,3.0,2.75,8.760000228881836,8.670000076293945,8.619999885559082,8.84000015258789
2023-06-07,8.600000381469727,8.600000381469727,8.5600004196167,8.579999923706055,1804500000000.0,3.680282186,3.0,8.658599948883056,8.669449968338013,8.634269403702868,8.657948925544547,44.44444444444444,8.887741188716673,8.451158747959353,1804500000000.0,1804500000000.0,1741500000000.0,1741500000000.0,3.0,2.75,8.760000228881836,8.710000038146973,8.6899995803833,8.84000015258789
2023-06-08,8.600000381469727,8.600000381469727,8.569999694824219,8.600000381469727,1804500000000.0,3.680282186,3.0,8.656799964904785,8.669749970436095,8.63292552047804,8.657372323115942,45.87159334597317,8.88749021590331,8.452009724968882,1804500000000.0,1804500000000.0,1741500000000.0,1741500000000.0,3.0,2.75,8.75,8.699999809265137,8.699999809265137,8.84000015258789
2023-06-09,8.609999656677246,8.649999618530273,8.59000015258789,8.619999885559082,1804500000000.0,3.680282186,3.0,8.655199966430665,8.670149970054627,8.63241863283416,8.657000458065626,46.36363478731299,8.88722490686257,8.453075033246684,1804500000000.0,1804500000000.0,1741500000000.0,1741500000000.0,3.0,2.75,8.699999809265137,8.4399995803833,8.699999809265137,8.800000190734863
2023-06-10,8.619999885559082,8.65999984741211,8.600000381469727,8.630000114440918,1804500000000.0,3.680282186,3.0,8.654799976348876,8.670599970817566,8.632323788975603,8.656731797930059,49.05662584155129,8.886962244421559,8.454237697213573,1804500000000.0,1804500000000.0,1741500000000.0,1741500000000.0,3.0,2.75,8.739999771118164,8.4399995803833,8.699999809265137,8.75
