,Close
Close,1.0
High,0.9987932113351751
Low,0.9987028055675513
Open,0.9977181366727399
EMA_50,0.9810873870161365
MA_50,0.9750548373632726
Lagged_Close_30D,0.9546054540234193
EMA_200,0.9210569087575102
MA_200,0.8953566233815186
BB_lower,0.8724030131645992
Lagged_Close_90D,0.8596296613061409
BB_upper,0.8327913037251814
Lagged_Close_180D,0.7209296005862126
Adj Close,0.5456239156732224
Lagged_Close_365D,0.42355433954137767
GDP (constant 2015 MYR),0.41151294762668966
GDP (constant 2015 MYR)_Lag_30D,0.4095245104745795
GDP (constant 2015 MYR)_Lag_90D,0.3992038198458441
GDP Growth YOY (%),0.3845319105164731
GDP (constant 2015 MYR)_Lag_180D,0.37992282260951427
OPR (%),0.35939147792270043
GDP (constant 2015 MYR)_Lag_365D,0.35760560652205026
OPR (%)_Lag_30D,0.31735325191463415
MACD_Signal,0.2746461600751303
MACD,0.2578748934365279
Volume,0.22774767847433547
OPR (%)_Lag_90D,0.22054367730213129
RSI_50,0.21177804003532694
OPR (%)_Lag_180D,0.0649202673473896
Inflation Rate (%),0.017036920566396937
Inflation Rate (%)_Lag_30D,-0.013104629431341832
Inflation Rate (%)_Lag_90D,-0.07372742499562318
Inflation Rate (%)_Lag_365D,-0.11673552222110782
OPR (%)_Lag_365D,-0.12799599111445836
Inflation Rate (%)_Lag_180D,-0.1408302301520673
ATR_200,-0.4066489792957221
